candidate_id,mean_validation_roc_auc,std_validation_roc_auc,n_estimators,max_depth,min_samples_leaf,max_features,class_weight,total_search_runtime_seconds
18,0.5273950862325039,0.05677166828915292,300,,10,log2,balanced,115.5904152393341
44,0.5273950862325039,0.05677166828915292,300,,10,sqrt,balanced,115.5904152393341
49,0.5258876444866424,0.047716959208617245,100,6.0,5,0.5,balanced,115.5904152393341
37,0.5257526972554439,0.04645599692263835,100,6.0,1,0.5,balanced,115.5904152393341
32,0.5247674218225078,0.053482560259417986,300,6.0,10,sqrt,balanced,115.5904152393341
15,0.5247511079742253,0.06287823527938406,300,,5,log2,,115.5904152393341
28,0.5246041078095237,0.05512099118926839,100,6.0,10,sqrt,,115.5904152393341
9,0.5241070637009864,0.0483094702568181,200,4.0,3,log2,balanced,115.5904152393341
10,0.5239540278064838,0.058116625670057515,200,10.0,10,log2,,115.5904152393341
8,0.5237150181123554,0.05527853876627288,300,10.0,10,sqrt,balanced,115.5904152393341
46,0.5234571864039815,0.04666210010406406,100,10.0,3,0.5,,115.5904152393341
2,0.5232201631806523,0.051621650380745523,200,,5,sqrt,balanced,115.5904152393341
5,0.522430068461976,0.05065972224639489,500,4.0,5,sqrt,balanced,115.5904152393341
34,0.5217136772702262,0.054420199134745606,200,10.0,5,log2,balanced,115.5904152393341
35,0.5212738216719951,0.05540415202966326,500,8.0,10,0.5,balanced,115.5904152393341
11,0.520992681903333,0.04740415175797686,200,8.0,1,sqrt,,115.5904152393341
1,0.520874702405104,0.06123419938950135,200,8.0,5,log2,balanced,115.5904152393341
27,0.5204229215104167,0.05174489241298947,200,8.0,10,0.5,,115.5904152393341
12,0.5203086675646094,0.0500241929190791,300,10.0,5,sqrt,,115.5904152393341
36,0.5201646821921875,0.053478854563369246,300,10.0,3,sqrt,balanced,115.5904152393341
50,0.519829735572288,0.04289108985523296,500,6.0,1,log2,balanced,115.5904152393341
33,0.5198005778414764,0.05163863661436295,300,10.0,5,sqrt,balanced,115.5904152393341
29,0.5196788154490093,0.04908803021587744,500,4.0,5,log2,,115.5904152393341
14,0.5193723661050809,0.04273726191075125,100,6.0,3,log2,,115.5904152393341
39,0.5185901884487323,0.052923333028952455,200,10.0,3,0.5,balanced,115.5904152393341
21,0.5184673698152777,0.04933303626307017,300,4.0,5,0.5,balanced,115.5904152393341
20,0.5182597964121342,0.05307272053325663,500,4.0,5,0.5,balanced,115.5904152393341
43,0.5182119973179112,0.055641633706855625,100,6.0,5,sqrt,balanced,115.5904152393341
3,0.5181540543364337,0.047544188044078534,200,10.0,3,0.5,,115.5904152393341
47,0.5175712331826982,0.04837309002249451,200,6.0,10,0.5,balanced,115.5904152393341
45,0.517468212419437,0.045763165824983895,300,10.0,10,0.5,,115.5904152393341
38,0.5172131027859318,0.03423367582806579,300,,1,sqrt,balanced,115.5904152393341
23,0.5166128499856012,0.0509273644916909,100,10.0,1,0.5,balanced,115.5904152393341
22,0.516160299843844,0.052812344245412715,500,4.0,5,0.5,,115.5904152393341
41,0.5160949946371769,0.04808914548036543,300,4.0,3,0.5,,115.5904152393341
13,0.5158739060997686,0.052448019972311424,200,8.0,10,log2,,115.5904152393341
17,0.5156473839178987,0.04012768878169583,200,,3,log2,balanced,115.5904152393341
7,0.5147895390262491,0.049969163095658915,300,8.0,1,0.5,balanced,115.5904152393341
30,0.5142380784822922,0.052967639602733714,500,8.0,5,sqrt,,115.5904152393341
26,0.513779000177535,0.054683550690032154,500,8.0,10,sqrt,,115.5904152393341
4,0.513742662771472,0.05049196485048299,100,6.0,5,log2,,115.5904152393341
16,0.5136018314862382,0.04130829899886489,200,,5,0.5,,115.5904152393341
25,0.5127342860819971,0.04298120710665596,500,8.0,1,0.5,,115.5904152393341
19,0.5120477565981558,0.047402769723670087,100,10.0,5,0.5,,115.5904152393341
40,0.5114638669319326,0.0505780599879006,500,6.0,5,0.5,,115.5904152393341
24,0.5113454236216406,0.04773375149770579,300,8.0,5,0.5,balanced,115.5904152393341
31,0.5113022279395356,0.04923916567364263,300,8.0,3,log2,,115.5904152393341
48,0.5107010541111847,0.042644642627930274,100,8.0,3,log2,balanced,115.5904152393341
42,0.5105414118830716,0.04282348352585287,100,,3,log2,,115.5904152393341
6,0.5088630831538826,0.043430250234976965,500,,3,sqrt,,115.5904152393341
